Repo Name,Private,Language,Stars,Forks,Created At,Updated At,URL
50projects,False,CSS,0,0,2021-12-05T08:21:42Z,2021-12-22T10:59:33Z,https://github.com/kuslapur/50projects
50projects50days,False,,0,0,2024-11-05T11:04:39Z,2024-11-05T11:04:40Z,https://github.com/kuslapur/50projects50days
50projects50days--A,False,,0,0,2024-11-06T03:50:46Z,2024-11-06T03:50:46Z,https://github.com/kuslapur/50projects50days--A
Add-SSH-Key-EC2-Ansible,False,,0,0,2021-10-27T04:33:11Z,2021-10-27T04:33:11Z,https://github.com/kuslapur/Add-SSH-Key-EC2-Ansible
Ansible,False,,0,0,2021-10-16T13:04:37Z,2024-02-20T07:23:13Z,https://github.com/kuslapur/Ansible
ansible-1,False,,0,0,2021-12-20T05:57:34Z,2021-12-20T05:57:36Z,https://github.com/kuslapur/ansible-1
ansible-2024-sep,False,,0,0,2024-09-03T06:56:08Z,2024-09-10T03:59:16Z,https://github.com/kuslapur/ansible-2024-sep
awesome-compose,False,,0,0,2021-07-29T12:11:14Z,2021-07-29T12:11:15Z,https://github.com/kuslapur/awesome-compose
AWS,False,,0,0,2021-02-22T17:40:38Z,2026-03-23T01:00:36Z,https://github.com/kuslapur/AWS
AWS-App-ticketbooking,False,Shell,0,0,2026-03-15T05:15:21Z,2026-03-16T16:29:34Z,https://github.com/kuslapur/AWS-App-ticketbooking
aws-s3-staticweb,False,,0,0,2025-02-08T17:48:56Z,2025-02-08T17:48:56Z,https://github.com/kuslapur/aws-s3-staticweb
bkuslapur,False,CSS,0,0,2021-07-07T06:46:27Z,2021-07-23T14:37:31Z,https://github.com/kuslapur/bkuslapur
BoardGame,False,,0,0,2024-09-02T10:33:19Z,2024-09-02T10:33:19Z,https://github.com/kuslapur/BoardGame
Branching-,False,,0,0,2021-06-11T18:01:46Z,2021-10-17T13:22:30Z,https://github.com/kuslapur/Branching-
carved-website,False,CSS,0,0,2021-07-02T18:42:29Z,2021-07-03T06:43:27Z,https://github.com/kuslapur/carved-website
CI-CD-project,False,CSS,0,0,2021-10-07T09:18:23Z,2021-10-07T12:07:09Z,https://github.com/kuslapur/CI-CD-project
cognixia-az104,False,,0,0,2021-05-29T18:32:40Z,2021-05-29T18:32:41Z,https://github.com/kuslapur/cognixia-az104
devops-master-class,False,,0,0,2024-06-03T04:21:05Z,2024-06-03T04:21:06Z,https://github.com/kuslapur/devops-master-class
DevOps-Roadmap-2026,False,,0,0,2026-04-14T02:02:03Z,2026-04-14T02:02:03Z,https://github.com/kuslapur/DevOps-Roadmap-2026
devops-tools,False,,0,0,2024-03-08T16:58:19Z,2024-03-08T16:58:19Z,https://github.com/kuslapur/devops-tools
Dockerfile,False,Dockerfile,0,0,2021-11-13T10:08:09Z,2021-11-13T18:49:04Z,https://github.com/kuslapur/Dockerfile
Docker_compose_yml,False,,0,0,2021-11-21T15:04:04Z,2021-11-21T15:17:36Z,https://github.com/kuslapur/Docker_compose_yml
eks-auto-mode-workshop,False,,0,0,2025-06-13T10:46:56Z,2025-06-13T10:46:56Z,https://github.com/kuslapur/eks-auto-mode-workshop
git-project,True,,0,0,2025-03-04T04:47:44Z,2025-06-13T10:32:46Z,https://github.com/kuslapur/git-project
GITACT-Projects-workflows,False,JavaScript,0,0,2025-12-02T17:41:49Z,2026-03-23T15:42:48Z,https://github.com/kuslapur/GITACT-Projects-workflows
github-action-maven-example-start,False,Java,0,0,2024-06-01T03:23:57Z,2025-07-07T12:09:06Z,https://github.com/kuslapur/github-action-maven-example-start
github-action_project,False,,0,0,2024-09-10T16:20:30Z,2024-09-10T16:30:43Z,https://github.com/kuslapur/github-action_project
GitHubAction-self-hosted-runner,False,Python,0,0,2025-12-21T17:03:13Z,2025-12-22T07:17:10Z,https://github.com/kuslapur/GitHubAction-self-hosted-runner
Gitlabprojects,False,,0,0,2024-09-02T13:25:23Z,2024-09-02T13:25:23Z,https://github.com/kuslapur/Gitlabprojects
harnesscd-example-apps,False,,0,0,2024-09-13T12:07:08Z,2024-09-13T12:07:08Z,https://github.com/kuslapur/harnesscd-example-apps
helm-charts,False,,0,0,2024-02-20T07:25:40Z,2024-02-20T07:25:40Z,https://github.com/kuslapur/helm-charts
